Date,dsp_toxins_Mexilhão,asp_toxins_Mexilhão,psp_toxins_Mexilhão
2015-01-11,36.0,1.8,71.0
2015-01-18,38.0,1.8,71.0
2015-01-25,36.0,1.8,71.0
2015-02-01,25.0,1.8,71.0
2015-02-08,23.0,1.8,71.0
2015-02-15,16.0,1.8,71.0
2015-02-22,36.0,1.8,71.0
2015-03-01,36.0,1.8,71.0
2015-03-08,,,70.97913766714296
2015-03-15,,,70.96508111624581
2015-03-22,36.0,1.8,71.0
2015-03-29,29.0,1.8,71.0
2015-04-05,36.0,1.8,71.0
2015-04-12,36.0,1.8,71.0
2015-04-19,71.0,1.8,71.0
2015-04-26,55.0,1.8,71.0
2015-05-03,85.0,1.8,71.0
2015-05-10,505.0,1.8,295.0
2015-05-17,658.0,1.8,341.0
2015-05-24,667.0,1.8,278.0
2015-05-31,339.0,1.8,66.0
2015-06-07,378.0,2.9,302.0
2015-06-14,384.0,1.8,147.0
2015-06-21,193.0,1.8,44.0
2015-06-28,381.0,1.8,71.0
2015-07-05,785.0,1.8,71.0
2015-07-12,602.0,1.8,71.0
2015-07-19,393.0,1.8,71.0
2015-07-26,291.0,1.8,71.0
2015-08-02,419.0,1.8,71.0
2015-08-09,574.0,1.8,34.0
2015-08-16,650.0,1.8,52.0
2015-08-23,460.0,1.8,36.0
2015-08-30,324.0,1.8,71.0
2015-09-06,850.0,1.8,71.0
2015-09-13,850.0,1.8,71.0
2015-09-20,850.0,1.8,71.0
2015-09-27,850.0,1.8,71.0
2015-10-04,850.0,1.8,71.0
2015-10-11,850.0,1.8,71.0
2015-10-18,850.0,1.8,71.00678130864655
2015-10-25,850.0,,71.00405150161495
2015-11-01,850.0,1.8,71.0
2015-11-08,443.0,1.8,71.0
2015-11-15,349.0,1.8,71.0
2015-11-22,252.0,1.8,71.0
2015-11-29,111.0,1.8,71.0
2015-12-06,108.0,1.8,71.0
2015-12-13,109.0,1.8,71.0
2015-12-20,71.0,1.8,71.0
2015-12-27,59.0,1.8,71.0
2016-01-03,96.0,1.8,71.0
2016-01-10,77.0,1.8,71.0
2016-01-17,65.0,1.8,71.0
2016-01-24,59.0,1.8,71.0
2016-01-31,68.0,1.8,71.0
2016-02-07,96.0,1.8,71.0
2016-02-14,,,70.99999999999244
2016-02-21,36.0,1.8,71.0
2016-02-28,17.0,1.8,71.0
2016-03-06,36.0,1.8,71.0
2016-03-13,36.0,1.8,71.0
2016-03-20,69.0,1.8,70.99999999999994
2016-03-27,,,70.99999999999996
2016-04-03,67.0,1.8,71.0
2016-04-10,47.0,1.8,71.0
